"","p-value"
"ENSG00000160087",0
"ENSG00000175756",0
"ENSG00000160072",0
"ENSG00000162585",0
"ENSG00000116670",0
"ENSG00000117122",0
"ENSG00000117318",0
"ENSG00000163382",0
"ENSG00000158716",0
"ENSG00000163444",0
"ENSG00000214026",0
"ENSG00000175390",0
"ENSG00000167996",0
"ENSG00000175550",0
"ENSG00000167548",0
"ENSG00000170421",0
"ENSG00000139372",0
"ENSG00000136003",0
"ENSG00000139726",0
"ENSG00000126777",0
"ENSG00000198668",0
"ENSG00000100664",0
"ENSG00000167004",0
"ENSG00000128951",0
"ENSG00000178741",0
"ENSG00000177971",0
"ENSG00000086504",0
"ENSG00000074071",0
"ENSG00000140988",0
"ENSG00000130182",0
"ENSG00000126602",0
"ENSG00000004779",0
"ENSG00000090905",0
"ENSG00000140941",0
"ENSG00000051523",0
"ENSG00000198931",0
"ENSG00000167526",0
"ENSG00000127774",0
"ENSG00000108518",0
"ENSG00000161960",0
"ENSG00000141027",0
"ENSG00000186395",0
"ENSG00000013306",0
"ENSG00000177576",0
"ENSG00000175221",0
"ENSG00000099817",0
"ENSG00000167468",0
"ENSG00000099800",0
"ENSG00000125652",0
"ENSG00000099783",0
"ENSG00000130811",0
"ENSG00000105401",0
"ENSG00000130159",0
"ENSG00000179271",0
"ENSG00000099795",0
"ENSG00000130311",0
"ENSG00000130520",0
"ENSG00000105669",0
"ENSG00000169021",0
"ENSG00000128626",0
"ENSG00000105404",0
"ENSG00000130203",0
"ENSG00000042753",0
"ENSG00000173272",0
"ENSG00000125835",0
"ENSG00000125901",0
"ENSG00000125977",0
"ENSG00000171222",0
"ENSG00000101182",0
"ENSG00000130706",0
"ENSG00000205581",0
"ENSG00000099901",0
"ENSG00000240972",0
"ENSG00000187051",0
"ENSG00000233276",0
"ENSG00000069849",0
"ENSG00000114867",0
"ENSG00000013810",0
"ENSG00000249915",0
"ENSG00000169230",0
"ENSG00000225921",0
"ENSG00000124795",0
"ENSG00000204469",0
"ENSG00000204392",0
"ENSG00000111832",0
"ENSG00000164610",0
"ENSG00000146731",0
"ENSG00000106538",0
"ENSG00000187840",0
"ENSG00000179091",0
"ENSG00000165060",0
"ENSG00000171159",0
"ENSG00000165688",0
"ENSG00000182154",0
"ENSG00000078061",0
"ENSG00000196976",0
"ENSG00000143774",1e-04
"ENSG00000173465",1e-04
"ENSG00000164056",1e-04
"ENSG00000112419",1e-04
"ENSG00000221978",2e-04
"ENSG00000065243",2e-04
"ENSG00000163159",2e-04
"ENSG00000165996",2e-04
"ENSG00000156374",2e-04
"ENSG00000165905",2e-04
"ENSG00000172531",2e-04
"ENSG00000182768",2e-04
"ENSG00000103202",2e-04
"ENSG00000130731",2e-04
"ENSG00000132386",2e-04
"ENSG00000132507",2e-04
"ENSG00000065268",2e-04
"ENSG00000104886",2e-04
"ENSG00000007080",2e-04
"ENSG00000006015",2e-04
"ENSG00000105254",2e-04
"ENSG00000101220",2e-04
"ENSG00000172315",2e-04
"ENSG00000166265",2e-04
"ENSG00000160200",2e-04
"ENSG00000114120",2e-04
"ENSG00000146535",2e-04
"ENSG00000160932",2e-04
"ENSG00000135049",2e-04
"ENSG00000123728",2e-04
"ENSG00000011009",3e-04
"ENSG00000162910",3e-04
"ENSG00000168003",3e-04
"ENSG00000007392",3e-04
"ENSG00000169710",3e-04
"ENSG00000130725",3e-04
"ENSG00000134308",3e-04
"ENSG00000135940",3e-04
"ENSG00000101199",3e-04
"ENSG00000171497",3e-04
"ENSG00000196821",3e-04
"ENSG00000172336",3e-04
"ENSG00000165280",3e-04
"ENSG00000152465",4e-04
"ENSG00000139324",4e-04
"ENSG00000103653",4e-04
"ENSG00000172270",4e-04
"ENSG00000104969",4e-04
"ENSG00000068024",4e-04
"ENSG00000117000",5e-04
"ENSG00000070047",5e-04
"ENSG00000166833",5e-04
"ENSG00000014216",5e-04
"ENSG00000172757",5e-04
"ENSG00000179295",5e-04
"ENSG00000177192",5e-04
"ENSG00000151338",5e-04
"ENSG00000011304",5e-04
"ENSG00000160113",5e-04
"ENSG00000105726",5e-04
"ENSG00000144320",5e-04
"ENSG00000125844",5e-04
"ENSG00000132661",5e-04
"ENSG00000132563",5e-04
"ENSG00000187391",5e-04
"ENSG00000122786",5e-04
"ENSG00000176209",5e-04
"ENSG00000107371",5e-04
"ENSG00000147123",5e-04
"ENSG00000102078",5e-04
"ENSG00000071859",5e-04
"ENSG00000162490",6e-04
"ENSG00000172663",6e-04
"ENSG00000084234",6e-04
"ENSG00000095906",6e-04
"ENSG00000103495",6e-04
"ENSG00000169727",6e-04
"ENSG00000254858",6e-04
"ENSG00000144120",6e-04
"ENSG00000128309",6e-04
"ENSG00000172037",6e-04
"ENSG00000155660",6e-04
"ENSG00000178896",6e-04
"ENSG00000147274",6e-04
"ENSG00000160075",8e-04
"ENSG00000090273",8e-04
"ENSG00000143368",8e-04
"ENSG00000163050",8e-04
"ENSG00000149131",8e-04
"ENSG00000089693",8e-04
"ENSG00000257727",8e-04
"ENSG00000135446",8e-04
"ENSG00000006327",8e-04
"ENSG00000169217",8e-04
"ENSG00000108561",8e-04
"ENSG00000171345",8e-04
"ENSG00000130816",8e-04
"ENSG00000105640",8e-04
"ENSG00000203326",8e-04
"ENSG00000000419",8e-04
"ENSG00000184900",8e-04
"ENSG00000160298",8e-04
"ENSG00000099956",8e-04
"ENSG00000100344",8e-04
"ENSG00000100376",8e-04
"ENSG00000106484",8e-04
"ENSG00000055609",8e-04
"ENSG00000253729",8e-04
"ENSG00000104267",8e-04
"ENSG00000106803",8e-04
"ENSG00000122140",8e-04
"ENSG00000102172",8e-04
"ENSG00000136383",9e-04
"ENSG00000127586",9e-04
"ENSG00000159210",9e-04
"ENSG00000090661",9e-04
"ENSG00000162551",0.001
"ENSG00000130770",0.001
"ENSG00000211450",0.001
"ENSG00000111707",0.001
"ENSG00000196498",0.001
"ENSG00000168101",0.001
"ENSG00000065000",0.001
"ENSG00000091009",0.001
"ENSG00000206503",0.001
"ENSG00000105968",0.001
"ENSG00000152926",0.001
"ENSG00000119487",0.001
"ENSG00000090686",0.0012
"ENSG00000134222",0.0012
"ENSG00000143469",0.0012
"ENSG00000143702",0.0012
"ENSG00000077235",0.0012
"ENSG00000171241",0.0012
"ENSG00000132005",0.0012
"ENSG00000177917",0.0012
"ENSG00000109736",0.0012
"ENSG00000111879",0.0012
"ENSG00000126870",0.0012
"ENSG00000099139",0.0012
"ENSG00000124313",0.0012
"ENSG00000064961",0.0013
"ENSG00000157992",0.0013
"ENSG00000101158",0.0013
"ENSG00000112305",0.0013
"ENSG00000213066",0.0013
"ENSG00000006451",0.0013
"ENSG00000148300",0.0013
"ENSG00000110492",0.0014
"ENSG00000108639",0.0014
"ENSG00000115760",0.0014
"ENSG00000164543",0.0014
"ENSG00000176101",0.0014
"ENSG00000157916",0.0015
"ENSG00000058453",0.0015
"ENSG00000143570",0.0015
"ENSG00000159346",0.0015
"ENSG00000107562",0.0015
"ENSG00000133884",0.0015
"ENSG00000198331",0.0015
"ENSG00000004478",0.0015
"ENSG00000127337",0.0015
"ENSG00000073060",0.0015
"ENSG00000184990",0.0015
"ENSG00000140391",0.0015
"ENSG00000132471",0.0015
"ENSG00000167088",0.0015
"ENSG00000167470",0.0015
"ENSG00000125733",0.0015
"ENSG00000105771",0.0015
"ENSG00000196961",0.0015
"ENSG00000167747",0.0015
"ENSG00000130726",0.0015
"ENSG00000115364",0.0015
"ENSG00000158417",0.0015
"ENSG00000196504",0.0015
"ENSG00000124225",0.0015
"ENSG00000153404",0.0015
"ENSG00000112308",0.0015
"ENSG00000124493",0.0015
"ENSG00000112667",0.0015
"ENSG00000136193",0.0015
"ENSG00000005075",0.0015
"ENSG00000155876",0.0015
"ENSG00000119523",0.0015
"ENSG00000101974",0.0015
"ENSG00000008128",0.0017
"ENSG00000110442",0.0017
"ENSG00000184967",0.0017
"ENSG00000143740",0.0018
"ENSG00000169180",0.0018
"ENSG00000168393",0.0018
"ENSG00000163812",0.0018
"ENSG00000114686",0.0018
"ENSG00000204394",0.0019
"ENSG00000134453",0.0021
"ENSG00000115268",0.0021
"ENSG00000170892",0.0021
"ENSG00000164649",0.0023
"ENSG00000149782",0.0024
"ENSG00000102755",0.0024
"ENSG00000125458",0.0024
"ENSG00000213923",0.0024
"ENSG00000122550",0.0024
"ENSG00000159840",0.0024
"ERCC-00062",0.0024
"ENSG00000130313",0.0025
"ENSG00000105438",0.0025
"ENSG00000164880",0.0025
"ENSG00000110104",0.0026
"ENSG00000256525",0.0027
"ENSG00000183850",0.0027
"ENSG00000163466",0.0027
"ENSG00000176444",0.0029
"ENSG00000072518",0.0029
"ENSG00000084463",0.0029
"ENSG00000140365",0.0029
"ENSG00000172466",0.0029
"ENSG00000130332",0.0029
"ENSG00000196365",0.0029
"ENSG00000104714",0.0029
"ENSG00000077782",0.0029
"ENSG00000135070",0.0029
"ENSG00000155827",0.0029
"ENSG00000203485",0.003
"ENSG00000142599",0.0031
"ENSG00000129317",0.0031
"ENSG00000137266",0.0031
"ENSG00000142684",0.0032
"ENSG00000109113",0.0032
"ENSG00000115107",0.0032
"ENSG00000038427",0.0032
"ENSG00000107890",0.0033
"ENSG00000186566",0.0033
"ENSG00000125877",0.0033
"ENSG00000163762",0.0033
"ENSG00000141736",0.0034
"ENSG00000104980",0.0034
"ENSG00000108947",0.0036
"ENSG00000147130",0.0036
"ENSG00000118197",0.0039
"ENSG00000165322",0.0039
"ENSG00000114770",0.0039
"ENSG00000072401",0.004
"ENSG00000065613",0.004
"ENSG00000063176",0.0041
"ENSG00000088832",0.0041
"ENSG00000169223",0.0041
"ENSG00000225485",0.0042
"ENSG00000099624",0.0042
"ENSG00000116062",0.0042
"ENSG00000173889",0.0042
"ENSG00000145979",0.0042
"ENSG00000131626",0.0043
"ENSG00000102897",0.0043
"ENSG00000162928",0.0043
"ENSG00000100354",0.0043
"ENSG00000204316",0.0045
"ENSG00000143494",0.0046
"ENSG00000125970",0.0046
"ENSG00000159055",0.0046
"ENSG00000250317",0.0046
"ENSG00000112996",0.0046
"ENSG00000196456",0.0046
"ENSG00000110987",0.0047
"ENSG00000179010",0.0047
"ENSG00000010810",0.0047
"ENSG00000172586",0.0048
"ENSG00000110092",0.0048
"ENSG00000173141",0.0048
"ENSG00000123983",0.0048
"ENSG00000038382",0.0048
"ENSG00000172869",0.0048
"ENSG00000108424",0.0049
"ENSG00000171634",0.0049
"ENSG00000126934",0.0049
"ENSG00000174501",0.0049
"ENSG00000080845",0.0049
"ENSG00000203950",0.0049
"ENSG00000148824",0.005
"ENSG00000120742",0.005
"ENSG00000138448",0.0052
"ENSG00000176720",0.0052
"ENSG00000099219",0.0053
"ENSG00000074842",0.0054
"ENSG00000089351",0.0054
"ENSG00000114383",0.0054
"ENSG00000125304",0.0055
"ENSG00000160299",0.0055
"ENSG00000124783",0.0055
"ENSG00000198563",0.0055
"ENSG00000111880",0.0055
"ENSG00000147459",0.0055
"ENSG00000047644",0.0055
"ENSG00000154114",0.0056
"ENSG00000181449",0.0056
"ENSG00000112144",0.0056
"ENSG00000104517",0.0056
"ENSG00000148337",0.0056
"ENSG00000140464",0.0058
"ENSG00000243716",0.0058
"ENSG00000172057",0.0058
"ENSG00000108465",0.0058
"ENSG00000159217",0.0058
"ENSG00000136444",0.0058
"ENSG00000010256",0.0058
"ENSG00000187764",0.0058
"ENSG00000169895",0.0058
"ENSG00000179262",0.0059
"ENSG00000147996",0.0059
"ENSG00000178028",0.006
"ENSG00000111057",0.006
"ENSG00000129347",0.006
"ENSG00000152133",0.006
"ENSG00000136271",0.006
"ENSG00000147874",0.006
"ENSG00000106829",0.006
"ENSG00000203668",0.0061
"ENSG00000095637",0.0061
"ENSG00000127445",0.0061
"ENSG00000156928",0.0061
"ENSG00000167114",0.0061
"ENSG00000177239",0.0061
"ENSG00000148297",0.0062
"ENSG00000127804",0.0064
"ENSG00000183010",0.0064
"ENSG00000149557",0.0066
"ENSG00000086598",0.0066
"ENSG00000167978",0.0066
"ENSG00000125505",0.0066
"ENSG00000145868",0.0066
"ENSG00000130055",0.0066
"ENSG00000126453",0.0067
"ENSG00000148090",0.0067
"ENSG00000188807",0.0068
"ENSG00000068383",0.0069
"ENSG00000198900",0.0069
"ENSG00000118007",0.007
"ENSG00000001036",0.007
"ENSG00000162639",0.0071
"ENSG00000133983",0.0071
"ENSG00000141140",0.0071
"ENSG00000104904",0.0071
"ENSG00000115942",0.0071
"ENSG00000159079",0.0071
"ENSG00000047849",0.0071
"ENSG00000121864",0.0071
"ENSG00000090316",0.0071
"ENSG00000145912",0.0071
"ENSG00000050748",0.0071
"ENSG00000197081",0.0071
"ENSG00000183337",0.0071
"ENSG00000166105",0.0072
"ENSG00000073614",0.0072
"ENSG00000134884",0.0072
"ENSG00000101558",0.0072
"ENSG00000081307",0.0072
"ENSG00000018189",0.0072
"ENSG00000146416",0.0072
"ENSG00000136937",0.0072
"ENSG00000119522",0.0072
"ERCC-00092",0.0072
"ENSG00000084207",0.0075
"ENSG00000178927",0.0075
"ENSG00000104907",0.0075
"ENSG00000119969",0.0076
"ENSG00000100462",0.0076
"ENSG00000130640",0.0077
"ENSG00000185238",0.0077
"ENSG00000139323",0.0077
"ENSG00000141837",0.0077
"ENSG00000187742",0.0077
"ENSG00000143543",0.0078
"ENSG00000256269",0.0078
"ENSG00000140990",0.0078
"ENSG00000105767",0.0078
"ENSG00000115568",0.0078
"ENSG00000160908",0.0078
"ENSG00000160789",0.008
"ENSG00000154144",0.008
"ENSG00000133703",0.008
"ENSG00000139826",0.008
"ENSG00000131653",0.008
"ENSG00000105278",0.008
"ENSG00000105287",0.008
"ENSG00000159228",0.008
"ENSG00000138231",0.008
"ENSG00000214160",0.008
"ENSG00000119326",0.008
"ENSG00000185905",0.0081
"ENSG00000010270",0.0082
"ENSG00000182400",0.0083
"ENSG00000050393",0.0083
"ENSG00000171603",0.0084
"ENSG00000198060",0.0084
"ENSG00000105699",0.0084
"ENSG00000136699",0.0084
"ENSG00000161533",0.0085
"ENSG00000079805",0.0085
"ENSG00000100325",0.0085
"ENSG00000128585",0.0085
"ENSG00000004142",0.0086
"ENSG00000189007",0.0086
"ENSG00000117528",0.0087
"ENSG00000158769",0.0087
"ENSG00000167797",0.0087
"ENSG00000140022",0.0087
"ENSG00000136715",0.0087
"ENSG00000198276",0.0087
"ENSG00000150712",0.0087
"ENSG00000133056",0.0088
"ENSG00000175197",0.0088
"ENSG00000176371",0.0088
"ENSG00000167085",0.0088
"ENSG00000185624",0.0088
"ENSG00000105447",0.0088
"ENSG00000198301",0.0088
"ENSG00000165671",0.0088
"ENSG00000157045",0.0089
"ENSG00000007944",0.0089
"ENSG00000112096",0.0089
"ENSG00000169018",0.009
"ENSG00000119231",0.009
"ENSG00000133872",0.009
"ENSG00000141002",0.0091
"ENSG00000237649",0.0091
"ENSG00000175606",0.0091
"ENSG00000248333",0.0092
"ENSG00000171735",0.0092
"ENSG00000116857",0.0092
"ENSG00000166454",0.0092
"ENSG00000176208",0.0092
"ENSG00000230055",0.0092
"ENSG00000108821",0.0092
"ENSG00000169738",0.0092
"ENSG00000185236",0.0092
"ENSG00000157150",0.0092
"ENSG00000073111",0.0092
"ENSG00000145860",0.0092
"ENSG00000169398",0.0092
"ENSG00000126878",0.0092
"ENSG00000183011",0.0093
"ENSG00000154277",0.0093
"ENSG00000127616",0.0095
"ENSG00000100767",0.0096
"ENSG00000157450",0.0096
"ENSG00000141385",0.0096
"ENSG00000162729",0.0097
"ENSG00000130303",0.0097
"ENSG00000131437",0.0099
"ENSG00000171163",0.01
"ENSG00000100897",0.01
"ENSG00000105223",0.01
